Tr;Time;RI_mz;N;mean;sd;se
156;F;4;X.Glutamic.acid..2TMS.;5;0.155257920174183;0.0393856142403259;0.0176137821553905
157;F;4;X.2.Oxoglutaric.acid..1MEOX...2TMS..BP;5;0.129539882430262;0.0722931680153088;0.0323304875982088
158;F;4;X.Threonic.acid..4TMS.;5;0.290774185273445;0.193943697419641;0.0867342582475938
159;F;4;X.Phenylalanine..2TMS.;5;0.0883685727405746;0.064434287970165;0.0288158895966172
160;F;4;X.Asparagine..3TMS.;5;0.228213036535935;0.20393806654293;0.0912038759979733
161;F;4;X.Putrescine..4TMS.;5;0.147056025334144;0.124624717046341;0.0557338677984589
162;F;4;X.Ornithine..4TMS.;5;0.187130980482768;0.0464350011896166;0.0207663638390532
163;F;4;X.Citric.acid..4TMS.;5;0.0372703166304055;0.0730013086888217;0.0326471777349303
164;F;4;X.Fructose..1MEOX...5TMS..MP;5;0.157974685207687;0.236376041823963;0.105710579554143
165;F;4;X.Galactose..1MEOX...5TMS..MP;5;0.0302730685546777;0.0193293482767571;0.00864434734151947
166;F;4;X.Lysine..4TMS.;5;0.166657408036595;0.0981428915292725;0.0438908353935683
167;F;4;X.Tyrosine..3TMS.;5;0.0537073903749064;0.0529915216446926;0.0236985289257368
168;F;4;X.Glucose..1MEOX...5TMS..BP;5;0.112771588424411;0.104004053531066;0.0465120267261979
169;F;4;X.Gluconic.acid..6TMS.;5;0.143045219186911;0.297440539991433;0.133019453337018
170;F;4;X.myo.Inositol..6TMS.;5;0.160041969000064;0.210124134389091;0.093970369641462
171;F;4;X.Sucrose..8TMS.;5;0.0114949899402522;0.01728305170608;0.00772921569468773
172;F;4;X.Trehalose..8TMS.;5;0.0580995665583211;0.0215525391597397;0.00963858852978084
173;F;4;X.Maltose..1MEOX...8TMS..MP;5;0.278310801849248;0.0965210308185567;0.043165517233729
174;F;4;X.Melibiose..1MEOX...8TMS..BP;5;0.08687223431313;0.0395344035456672;0.0176803227556041
175;F;4;X.Galactinol..9TMS.;5;0.182892715803348;0.151817957425296;0.0678950546016264
176;F;6;X.Pyruvic.acid..1TMS.;5;0.145450512821531;0.058048240348829;0.0259599622788455
177;F;6;X.Lactic.Acid..2TMS.;5;0.138414779737465;0.0560636849390261;0.0250724421185587
178;F;6;X.Valine..1TMS.;5;0.151723893311275;0.0394229104426296;0.0176304615241212
179;F;6;X.Alanine..2TMS.;5;0.00559824710147767;0.00369957071081255;0.00165449831938882
180;F;6;X.Leucine..2TMS.;5;0.0967903428244482;0.0304013202683261;0.0135958837451438
181;F;6;X.Threonine..2TMS.;5;0.338668327961534;0.0771283308285523;0.0344928381447471
182;F;6;X.Proline..2TMS.;5;0.0423388556655121;0.010916857953055;0.00488216729674804
183;F;6;X.Succinic.acid..2TMS.;5;0.121817141879851;0.0752342642174602;0.0336457858054842
184;F;6;X.Glycine..3TMS.;5;0.125750738760288;0.0615814844731951;0.0275400770874824
185;F;6;X.Fumaric.acid..2TMS.;5;0.0336510074294329;0.0165644564931995;0.00740785014582637
186;F;6;X.Serine..3TMS.;5;0.0396901033190383;0.0820583575634878;0.0366976131267885
187;F;6;X.Methionine..1TMS.;5;0.245870187618118;0.101077738755151;0.0452033389736966
188;F;6;X.Aspartic.acid..2TMS.;5;0.0613173237259825;0.0275726850039003;0.012330879598182
189;F;6;X.Glutamine...H2O...2TMS.;5;0.0554937606753717;0.0211120452546899;0.00944159366670771
190;F;6;X.Malic.acid..3TMS.;5;0.0110772527903598;0.0201338813609061;0.00900414547478041
191;F;6;X.Glutamic.acid..2TMS.;5;0.239699798875899;0.0631652059950569;0.0282483388835449
192;F;6;X.2.Oxoglutaric.acid..1MEOX...2TMS..BP;5;0.0681936520391905;0.021537801867418;0.00963199781229372
193;F;6;X.Threonic.acid..4TMS.;5;0.242433115271386;0.250177790330519;0.111882909127946
194;F;6;X.Phenylalanine..2TMS.;5;0.244414408696488;0.170816780519617;0.0763915865879052
195;F;6;X.Asparagine..3TMS.;5;0.197490036350084;0.13372901226236;0.0598054323965081
196;F;6;X.Putrescine..4TMS.;5;0.120380168219758;0.0965813043720981;0.0431924723863218
197;F;6;X.Ornithine..4TMS.;5;0.222294948144682;0.0470178664512463;0.0210270291083987
198;F;6;X.Citric.acid..4TMS.;5;0.0116838911962837;0.00827888902121052;0.00370243172592068
199;F;6;X.Fructose..1MEOX...5TMS..MP;5;0.0433561640864218;0.0713722702073736;0.0319186495784341
200;F;6;X.Galactose..1MEOX...5TMS..MP;5;0.0502177488624259;0.0350903130224518;0.0156928650539897
201;F;6;X.Lysine..4TMS.;5;0.244613906463932;0.110789404026494;0.049546527717986
202;F;6;X.Tyrosine..3TMS.;5;0.101347586244021;0.0346981963794528;0.0155175051602187
203;F;6;X.Glucose..1MEOX...5TMS..BP;5;0.292797277764398;0.406598688427622;0.181836461377284
204;F;6;X.Gluconic.acid..6TMS.;5;0.0172681534970659;0.0124749375597704;0.00557896167974239
205;F;6;X.myo.Inositol..6TMS.;5;0.125850398518344;0.184534184140569;0.082526195982155
206;F;6;X.Sucrose..8TMS.;5;0.0106726223700281;0.00363149684110932;0.00162405475935924
207;F;6;X.Trehalose..8TMS.;5;0.0756734950474511;0.0463355389437845;0.0207218829704782
208;F;6;X.Maltose..1MEOX...8TMS..MP;5;0.523007469160831;0.293241161156216;0.131141434029254
209;F;6;X.Melibiose..1MEOX...8TMS..BP;5;0.176881179131485;0.110290291222894;0.0493233176865277
